detector,period,scope,n_treatment,n_control,delta,ci_low,ci_high,p_value,material,is_primary,family,view,outlet
binoculars,post,band_150-300_year_2024,161,972,-0.12073460624185262,-0.21474931625897814,-0.02497156404161236,0.014031506174190802,False,False,outlet,own_pre,irish_examiner
binoculars,post,band_150-300_year_2025,206,972,-0.18397658715889564,-0.2684530944104839,-0.09716678652762792,3.287034155432849e-05,True,False,outlet,own_pre,irish_examiner
binoculars,post,band_150-300_year_2026,75,972,-0.16411522633744857,-0.2958299039780521,-0.031547325102880705,0.017759751894866654,True,False,outlet,own_pre,irish_examiner
binoculars,post,band_300-600,2462,2507,-0.12497743928697458,-0.1569886891844995,-0.09328179229757003,2.376454187496277e-14,False,False,outlet,own_pre,irish_examiner
binoculars,post,band_300-600_year_2022,37,2507,-0.14364104830798086,-0.32849912137905757,0.05053256287799553,0.13312319046202245,False,False,outlet,own_pre,irish_examiner
binoculars,post,band_300-600_year_2023,641,2507,-0.06478397149448001,-0.113945601302313,-0.015378951416532987,0.0112511209891448,False,False,outlet,own_pre,irish_examiner
binoculars,post,band_300-600_year_2024,633,2507,-0.1463901076984444,-0.19476776242949442,-0.09694366043640207,1.2035571154251e-08,False,False,outlet,own_pre,irish_examiner
binoculars,post,band_300-600_year_2025,802,2507,-0.11812461268050456,-0.16236252955564814,-0.07283239100095794,4.593871432449011e-07,False,False,outlet,own_pre,irish_examiner
binoculars,post,band_300-600_year_2026,349,2507,-0.21046513887190366,-0.27269256397273883,-0.1481991398296804,1.7789628701359643e-10,True,False,outlet,own_pre,irish_examiner
binoculars,post,band_600-inf,2361,1795,-0.07988730519974663,-0.11585133418043199,-0.04586290215066319,9.961086280040258e-06,False,False,outlet,own_pre,irish_examiner
binoculars,post,band_600-inf_year_2022,26,1795,-0.0726376687379473,-0.29963788300835653,0.14866402399828574,0.5244117118214935,False,False,outlet,own_pre,irish_examiner
binoculars,post,band_600-inf_year_2023,537,1795,-0.011385858711608354,-0.06556916325609626,0.04233905479217566,0.6885530191164868,False,False,outlet,own_pre,irish_examiner
binoculars,post,band_600-inf_year_2024,532,1795,-0.06615075292688544,-0.12208960772404547,-0.008490585795966288,0.02031282696785458,False,False,outlet,own_pre,irish_examiner
binoculars,post,band_600-inf_year_2025,864,1795,-0.09229663158980705,-0.13844710744867428,-0.04736755906324154,0.00011336879853127606,False,False,outlet,own_pre,irish_examiner
binoculars,post,band_600-inf_year_2026,402,1795,-0.16336978062334562,-0.2248071619617788,-0.10391614351640131,2.9445529374810064e-07,True,False,outlet,own_pre,irish_examiner
binoculars,post,post_all,5608,5608,0.10015200798329671,0.07890703697184165,0.12170341549594935,4.1066816808522577e-20,False,False,outlet,own_pre,the_liberal
binoculars,post,year_2022,75,5608,0.1679077508321445,0.043713623395149816,0.28949155967665235,0.012360344938224322,True,False,outlet,own_pre,the_liberal
binoculars,post,year_2023,1485,5608,0.1210705485669823,0.08739709265743492,0.1540713663021081,6.725952142202868e-13,False,False,outlet,own_pre,the_liberal
binoculars,post,year_2024,1433,5608,-0.07553261067580652,-0.1063413795266059,-0.04410266387465624,9.892785983676231e-06,False,False,outlet,own_pre,the_liberal
binoculars,post,year_2025,1885,5608,0.1701502590085402,0.14273137654809157,0.19700042947362037,1.7800299188383669e-28,True,False,outlet,own_pre,the_liberal
binoculars,post,year_2026,730,5608,0.21475973657983705,0.17821983760967694,0.2510195562112833,3.2936590352736422e-21,True,False,outlet,own_pre,the_liberal
